year,baseyear,gr_prog_l,gr_pop,mu,y,l,prog_l,gr_price,gr_nml,adjust_r,p,p_n,l_n,w,delta,p_k,i,k,r,r_k,c_k,k_n,c_y,m_up_n,m_up,prof,div,div_n,adjust_che_che1,g,adjust_div_divn,adjust_dive_dive1,adjust_dive_div1,adjust_dive_divn,debt_g,r_debt_g,inc,t_inc,adjust_w_w1wn1,adjust_pe_p1,ch,ch_e,adjust_le_le1,adjust_le_l1,adjust_le_ln,w_n,adjust_l_ln,adjust_w_wn,l_e,phi_l,rho_mupn_ln,dsigma,div_e,adjust_i_knk1,ch_n,sigma,sigma_n,sav_h,wealth,k_e,adjust_i_rk,gr_w_nml,adjust_i_kn,adjust_i_i1,w_e,lf,rho_wn_du,adjust_m_up,adjust_ch_chn,prog_k,phi_k,rho_mupn_kn,adjust_sigma,adjust_che_ch1,rho_sigma_p,adjust_w_w1,rho_wn_pe,rho_wn_progl,rho_wn_u,u,rho_wn,rho_rn_p,phi_rd_g,rho_rn_u,adjust_che_chn,r_n,rho_tinc_debt,sav_f,phi_rd_f,debt_f,adjust_p_pn,rho_sigma_r,rho_kl,rho_sigma_debt,rho_sigma_u,adjust_t_inc,adjust_pe_pe1,adjust_pe_pn,sav_g,p_e,t_inc_n
-3.0,0.0,0.01,0.005,0.01505000000000001,95.61756800292436,985.1487593098101,0.09705901479276441,0.02,0.03535100000000013,0.5,0.9423223345470445,0.9423223345470445,985.1487593098101,0.05944957031543002,0.08,0.7764799429454142,16.25498656049714,171.0151137348463,0.02535100000000013,0.02535100000000013,0.07900986087736664,171.0151137348463,0.7538212097138884,0.2500607868339249,0.2500607868339249,18.02401912236203,18.02401912236203,18.02401912236203,0.7,21.9920406406726,0.2,0.7,0.1,0.2,54.06154194253588,0.02535100000000013,76.59068956010924,0.2637583567224246,0.05,0.1,57.37054080175461,57.37054080175461,0.7,0.1,0.2,0.05944957031543002,0.5,0.4,985.1487593098101,0.8125395114420511,0.6094046335815383,0.0,18.02401912236203,0.05,57.37054080175461,0.04127937482275046,0.04127937482275046,2.327713198961582,68.17346576498726,171.0151137348463,0.0,0.0302,1.0,0.0,0.05944957031543002,1083.663635240791,0.6,0.5,0.6,0.5591176470588235,0.1874604885579489,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909094,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-15.3174368837185,0.08,137.4840581789045,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-4.45665930330621,0.9423223345470445,0.2637583567224246
-2.0,0.0,0.01,0.005,0.01505000000000001,97.05661240136837,990.0745031063589,0.09802960494069207,0.02,0.03535100000000013,0.5,0.9611687812379853,0.9611687812379853,990.0745031063589,0.06124494733895602,0.08,0.7920095418043225,16.49962410823262,173.5888911965557,0.02535100000000013,0.02535100000000013,0.08059005809491399,173.5888911965557,0.7688976339081662,0.2500607868339249,0.2500607868339249,18.66118622235664,18.66118622235664,18.66118622235664,0.7,22.32302085231472,0.2,0.7,0.1,0.2,55.97267151174646,0.02535100000000013,79.29824702674864,0.2637583567224246,0.05,0.1,58.23396744082102,58.23396744082102,0.7,0.1,0.2,0.06124494733895602,0.5,0.4,990.0745031063589,0.8125395114420511,0.6094046335815383,0.0,18.66118622235664,0.05,58.23396744082102,0.04127937482275035,0.04127937482275035,2.410000188258067,70.58346595324514,173.5888911965557,0.0,0.0302,1.0,0.0,0.06124494733895602,1089.081953416995,0.6,0.5,0.6,0.5591176470588236,0.1874604885579489,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909094,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-15.85892359499483,0.08,142.344257119587,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-4.614206666337386,0.9611687812379853,0.2637583567224246
-1.0,0.0,0.01,0.005,0.01505000000000001,98.51731441800897,995.0248756218907,0.09900990099009899,0.02,0.03535100000000013,0.5,0.9803921568627451,0.9803921568627451,995.0248756218907,0.0630945447485925,0.08,0.8078497326404089,16.74794345106152,176.2014040090639,0.02535100000000013,0.02535100000000013,0.08220185925681227,176.2014040090639,0.7842755865863297,0.2500607868339244,0.2500607868339244,19.32087781650316,19.32087781650316,19.32087781650316,0.7,22.65898231614206,0.2,0.7,0.1,0.2,57.9513614223582,0.02535100000000013,82.10151935739123,0.2637583567224247,0.05,0.1,59.11038865080538,59.11038865080538,0.7,0.1,0.2,0.0630945447485925,0.5,0.4,995.0248756218907,0.8125395114420511,0.6094046335815383,0.0,19.32087781650316,0.05,59.11038865080538,0.04127937482275024,0.04127937482275024,2.49519610491317,73.07866205815806,176.2014040090639,0.0,0.0302,1.0,0.0,0.0630945447485925,1094.52736318408,0.6,0.5,0.6,0.5591176470588236,0.1874604885579489,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909094,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-16.41955240300149,0.08,147.3762689530215,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-4.777323486199078,0.9803921568627451,0.2637583567224247
0.0,0.0,0.01,0.005,0.01505000000000001,100.0,1000.0,0.1,0.02,0.03535100000000013,0.5,1.0,1.0,1000.0,0.065,0.08,0.8240067272932172,17.0,178.8532351394003,0.02535100000000013,0.02535100000000013,0.08384589644194849,178.8532351394003,0.7999610983180563,0.2500607868339246,0.2500607868339246,20.00389016819438,20.00389016819438,20.00389016819438,0.7,23.0,0.2,0.7,0.1,0.2,60.0,0.02535100000000013,85.00389016819437,0.2637583567224246,0.05,0.1,60.0,60.0,0.7,0.1,0.2,0.065,0.5,0.4,1000.0,0.8125395114420511,0.6094046335815383,0.0,20.00389016819438,0.05,60.0,0.04127937482275035,0.04127937482275035,2.58340378241796,75.66206584057616,178.8532351394003,0.0,0.0302,1.0,0.0,0.065,1100.0,0.6,0.5,0.6,0.5591176470588235,0.1874604885579489,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909094,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-17.0,0.08,152.5861674367797,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-4.946206648759704,1.0,0.2637583567224246
1.0,0.0,0.01,0.005,0.01505000000000001,101.505,1005.0,0.101,0.02,0.03535100000000013,0.5,1.02,1.02,1005.0,0.06696300000000001,0.08,0.8404868618390816,17.25585,181.5449763282483,0.02535100000000013,0.02535100000000013,0.0855228143707875,181.5449763282483,0.8159603202844173,0.2500607868339249,0.2500607868339249,20.71104768953021,20.71104768953021,20.71104768953021,0.7,23.34615,0.2,0.7,0.1,0.2,62.12105999999999,0.02535100000000013,88.00886268953022,0.2637583567224246,0.05,0.1,60.903,60.903,0.7,0.1,0.2,0.06696300000000001,0.5,0.4,1005.0,0.8125395114420512,0.6094046335815384,0.0,20.71104768953021,0.05,60.903,0.04127937482275046,0.04127937482275046,2.674729689530224,78.33679553010657,181.5449763282483,0.0,0.0302,1.0,0.0,0.06696300000000001,1105.5,0.6,0.5,0.6,0.5591176470588236,0.187460488557949,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909083,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-17.600967,0.08,157.9802410418374,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-5.12106000000001,1.02,0.2637583567224246
2.0,0.0,0.01,0.005,0.01505000000000001,103.03265025,1010.025,0.10201,0.02,0.03535100000000013,0.5,1.0404,1.0404,1010.025,0.0689852826,0.08,0.8572965990758632,17.5155505425,184.2772282219884,0.02535100000000013,0.02535100000000013,0.08723327065820326,184.2772282219884,0.8322795266901057,0.2500607868339246,0.2500607868339246,21.4432039364028,21.4432039364028,21.4432039364028,0.7,23.6975095575,0.2,0.7,0.1,0.2,64.31710159206,0.02535100000000013,91.12006399446778,0.2637583567224246,0.05,0.1,61.81959015,61.81959015,0.7,0.1,0.2,0.0689852826,0.5,0.4,1010.025,0.8125395114420509,0.6094046335815382,0.0,21.4432039364028,0.05,61.81959015,0.04127937482275013,0.04127937482275013,2.769284058784791,81.10607958889089,184.2772282219884,0.0,0.0302,1.0,0.0,0.0689852826,1111.0275,0.6,0.5,0.6,0.5591176470588236,0.187460488557949,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909083,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-18.223178784417,0.08,163.5650005429073,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-5.302094592060009,1.0404,0.2637583567224246
3.0,0.0,0.01,0.005,0.01505000000000001,104.5832916362625,1015.075125,0.1030301,0.02,0.03535100000000013,0.5,1.061208,1.061208,1015.075125,0.07106863813452004,0.08,0.8744425310573807,17.77915957816462,187.0506005067293,0.02535100000000013,0.02535100000000013,0.08897793607136731,187.0506005067293,0.848925117223908,0.2500607868339249,0.2500607868339249,22.20124263875858,22.20124263875858,22.20124263875858,0.7,24.05415707634037,0.2,0.7,0.1,0.2,66.59077545044093,0.02535100000000013,94.34124937673624,0.2637583567224246,0.05,0.1,62.7499749817575,62.7499749817575,0.7,0.1,0.2,0.07106863813452004,0.5,0.4,1015.075125,0.8125395114420511,0.6094046335815383,0.0,22.20124263875858,0.05,62.7499749817575,0.04127937482275013,0.04127937482275013,2.867181019546891,83.97326060843774,187.0506005067293,0.0,0.0302,1.0,0.0,0.07106863813452004,1116.5826375,0.6,0.5,0.6,0.5591176470588236,0.1874604885579489,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909105,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-18.86738637762492,0.08,169.3471868770997,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-5.489528937983922,1.061208,0.2637583567224246
4.0,0.0,0.01,0.005,0.01505000000000001,106.1572701753882,1020.150500625,0.104060401,0.02,0.03535100000000013,0.5,1.08243216,1.08243216,1020.150500625,0.07321491100618253,0.08,0.891931381678528,18.046735929816,189.8657120443556,0.02535100000000013,0.02535100000000013,0.09075749479279469,189.8657120443556,0.8659036195683861,0.2500607868339246,0.2500607868339246,22.98607876728131,22.98607876728131,22.98607876728131,0.7,24.4161721403393,0.2,0.7,0.1,0.2,68.94482595338944,0.02535100000000013,97.67630688345322,0.2637583567224246,0.05,0.1,63.69436210523294,63.69436210523294,0.7,0.1,0.2,0.07321491100618253,0.5,0.4,1020.150500625,0.8125395114420509,0.6094046335815382,0.0,22.98607876728131,0.05,63.69436210523294,0.04127937482275024,0.04127937482275024,2.968538735768902,86.9417993442069,189.8657120443556,0.0,0.0302,1.0,0.0,0.07321491100618253,1122.165550687499,0.6,0.5,0.6,0.5591176470588236,0.187460488557949,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909083,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-19.53436735346034,0.08,175.333779280392,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-5.683589275470597,1.08243216,0.2637583567224246
5.0,0.0,0.01,0.005,0.01505000000000001,107.7549370915279,1025.251253128124,0.1051010050100001,0.02,0.03535100000000013,0.5,1.1040808032,1.1040808032,1025.251253128124,0.07542600131856929,0.08,0.9097700093120986,18.31833930555974,192.7231910106232,0.02535100000000013,0.02535100000000013,0.09257264468865052,192.7231910106232,0.8832216919597538,0.2500607868339249,0.2500607868339249,23.79865963778349,23.79865963778349,23.79865963778349,0.7,24.78363553105141,0.2,0.7,0.1,0.2,71.38209449566773,0.02535100000000013,101.1292620080902,0.2637583567224246,0.05,0.1,64.65296225491673,64.65296225491673,0.7,0.1,0.2,0.07542600131856929,0.5,0.4,1025.251253128124,0.8125395114420511,0.6094046335815383,0.0,23.79865963778349,0.05,64.65296225491673,0.04127937482275035,0.04127937482275035,3.073479548617073,90.01527889282404,192.7231910106232,0.0,0.0302,1.0,0.0,0.07542600131856929,1127.776378440937,0.6,0.5,0.6,0.5591176470588236,0.1874604885579489,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909105,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-20.22492677377252,0.08,181.5320037117332,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-5.884509839947751,1.1040808032,0.2637583567224246
6.0,0.0,0.01,0.005,0.01505000000000001,109.3766488947553,1030.377509393765,0.1061520150601001,0.02,0.03535100000000013,0.5,1.126162419264,1.126162419264,1030.377509393765,0.07770386655839005,0.08,0.9279654094983406,18.59403031210841,195.6236750353331,0.02535100000000013,0.02535100000000013,0.09442409758242355,195.6236750353331,0.9008861257989489,0.2500607868339246,0.2500607868339246,24.63996605463878,24.63996605463878,24.63996605463878,0.7,25.15662924579373,0.2,0.7,0.1,0.2,73.90552291818406,0.02535100000000013,104.7042825493382,0.2637583567224246,0.05,0.1,65.62598933685321,65.62598933685321,0.7,0.1,0.2,0.07770386655839005,0.5,0.4,1030.377509393765,0.8125395114420509,0.6094046335815382,0.0,24.63996605463878,0.05,65.62598933685321,0.04127937482275024,0.04127937482275024,3.18213012414023,93.19740901696412,195.6236750353331,0.0,0.0302,1.0,0.0,0.07770386655839005,1133.415260333142,0.6,0.5,0.6,0.5591176470588235,0.1874604885579489,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909094,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-20.93989816015215,0.08,187.9493415749467,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-6.092533147299749,1.126162419264,0.2637583567224246
7.0,0.0,0.01,0.005,0.01505000000000001,111.0227674606214,1035.529396940734,0.1072135352107011,0.02,0.03535100000000013,0.5,1.14868566764928,1.14868566764928,1035.529396940734,0.08005052332845344,0.08,0.9465247176883075,18.87387046830564,198.5678113446148,0.02535100000000013,0.02535100000000013,0.09631257953407203,198.5678113446148,0.9189038483149277,0.2500607868339249,0.2500607868339249,25.51101349463631,25.51101349463631,25.51101349463631,0.7,25.53523651594292,0.2,0.7,0.1,0.2,76.5181570588648,0.02535100000000013,108.4056836417398,0.2637583567224246,0.05,0.1,66.61366047637284,66.61366047637284,0.7,0.1,0.2,0.08005052332845344,0.5,0.4,1035.529396940734,0.8125395114420512,0.6094046335815384,0.0,25.51101349463631,0.05,66.61366047637284,0.04127937482275035,0.04127937482275035,3.294621606158714,96.4920306231229,198.5678113446148,0.0,0.0302,1.0,0.0,0.08005052332845344,1139.082336634807,0.6,0.5,0.6,0.5591176470588235,0.187460488557949,0.1405953664184618,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909105,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-21.68014450001169,0.08,194.5935387489626,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-6.307910286589942,1.14868566764928,0.2637583567224246
8.0,0.0,0.01,0.005,0.01505000000000001,112.6936601109038,1040.707043925437,0.1082856705628081,0.02,0.03535100000000013,0.5,1.171659381002266,1.171659381002266,1040.707043925437,0.08246804913297275,0.08,0.9654552120420736,19.15792221885364,201.5562569053513,0.02535100000000013,0.02535100000000013,0.09823883112475348,201.5562569053513,0.9372819252812264,0.2500607868339246,0.2500607868339246,26.4128533326852,26.4128533326852,26.4128533326852,0.7,25.91954182550786,0.2,0.7,0.1,0.2,79.22315042905274,0.02535100000000013,112.237932964159,0.2637583567224246,0.05,0.1,67.61619606654226,67.61619606654226,0.7,0.1,0.2,0.08246804913297275,0.5,0.4,1040.707043925437,0.8125395114420511,0.6094046335815383,0.0,26.4128533326852,0.05,67.61619606654226,0.04127937482275035,0.04127937482275035,3.411089774558036,99.90312039768109,201.5562569053513,0.0,0.0302,1.0,0.0,0.08246804913297275,1144.777748317981,0.6,0.5,0.6,0.5591176470588236,0.1874604885579489,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909094,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-22.44655928823161,0.08,201.4726149372772,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-6.530901223131178,1.171659381002266,0.2637583567224246
9.0,0.0,0.01,0.005,0.01505000000000001,114.3896996955729,1045.910579145064,0.1093685272684362,0.02,0.03535100000000013,0.5,1.195092568622311,1.195092568622311,1045.910579145064,0.08495858421678855,0.08,0.9847643162829152,19.44624894824739,204.5896785717768,0.02535100000000013,0.02535100000000013,0.1002036077472485,204.5896785717768,0.9560275637868509,0.2500607868339246,0.2500607868339246,27.34657411084895,27.34657411084895,27.34657411084895,0.7,26.30963092998176,0.2,0.7,0.1,0.2,82.02376801987019,0.02535100000000013,116.205656132375,0.2637583567224246,0.05,0.1,68.63381981734372,68.63381981734372,0.7,0.1,0.2,0.08495858421678855,0.5,0.4,1045.910579145064,0.8125395114420511,0.6094046335815383,0.0,27.34657411084895,0.05,68.63381981734372,0.04127937482275013,0.04127937482275013,3.531675209178417,103.4347956068589,204.5896785717768,0.0,0.0302,1.0,0.0,0.08495858421678855,1150.501637059571,0.6,0.5,0.6,0.5591176470588236,0.1874604885579489,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909083,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-23.24006760562989,0.08,208.5948733479249,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-6.761775112270091,1.195092568622311,0.2637583567224246
10.0,0.0,0.01,0.005,0.01505000000000001,116.1112646759912,1051.14013204079,0.1104622125411206,0.02,0.03535100000000013,0.5,1.218994419994757,1.218994419994757,1051.14013204079,0.08752433346013556,0.08,1.004459602608573,19.73891499491851,207.668753234282,0.02535100000000013,0.02535100000000013,0.1022076799021935,207.668753234282,0.975148115062588,0.2500607868339246,0.2500607868339246,28.31330285224156,28.31330285224156,28.31330285224156,0.7,26.70559087547799,0.2,0.7,0.1,0.2,84.9233902431406,0.02535100000000013,120.3136422823106,0.2637583567224247,0.05,0.1,69.66675880559475,69.66675880559475,0.7,0.1,0.2,0.08752433346013556,0.5,0.4,1051.14013204079,0.8125395114420512,0.6094046335815384,0.0,28.31330285224156,0.05,69.66675880559475,0.04127937482275001,0.04127937482275001,3.656523459498075,107.0913190663568,207.668753234282,0.0,0.0302,1.0,0.0,0.08752433346013556,1156.254145244869,0.6,0.5,0.6,0.5591176470588236,0.1874604885579489,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909083,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-24.06162723555651,0.08,215.9689107156474,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-7.000810624263951,1.218994419994757,0.2637583567224247
11.0,0.0,0.01,0.005,0.01505000000000001,117.8587392093649,1056.395832700993,0.1115668346665318,0.02,0.03535100000000013,0.5,1.243374308394652,1.243374308394652,1056.395832700993,0.09016756833063169,0.08,1.024548794660745,20.03598566559204,210.794167970458,0.02535100000000013,0.02535100000000013,0.1042518335002374,210.794167970458,0.99465107736384,0.2500607868339244,0.2500607868339244,29.31420642137115,29.31420642137115,29.31420642137115,0.7,27.10751001815393,0.2,0.7,0.1,0.2,87.92551701162589,0.02535100000000013,124.5668498506326,0.2637583567224246,0.05,0.1,70.71524352561894,70.71524352561894,0.7,0.1,0.2,0.09016756833063169,0.5,0.4,1056.395832700993,0.8125395114420511,0.6094046335815383,0.0,29.31420642137115,0.05,70.71524352561894,0.04127937482275035,0.04127937482275035,3.785785220314821,110.8771042866724,210.794167970458,0.0,0.0302,1.0,0.0,0.09016756833063169,1162.035415971093,0.6,0.5,0.6,0.5591176470588236,0.1874604885579489,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909094,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-24.91222981996067,0.08,223.6036276783562,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-7.248296280642307,1.243374308394652,0.2637583567224246
12.0,0.0,0.01,0.005,0.01505000000000001,119.6325132344658,1061.677811864498,0.1126825030131971,0.02,0.03535100000000013,0.5,1.268241794562545,1.268241794562545,1061.677811864498,0.09289062889421676,0.08,1.04503977055396,20.33752724985919,213.9666201984134,0.02535100000000013,0.02535100000000013,0.1063368701702422,213.9666201984134,1.014544098911117,0.2500607868339246,0.2500607868339246,30.35049293257304,30.35049293257304,30.35049293257304,0.7,27.51547804392714,0.2,0.7,0.1,0.2,91.03377196350387,0.02535100000000013,128.9704125597022,0.2637583567224247,0.05,0.1,71.77950794067951,71.77950794067951,0.7,0.1,0.2,0.09289062889421676,0.5,0.4,1061.677811864498,0.8125395114420513,0.6094046335815384,0.0,30.35049293257304,0.05,71.77950794067951,0.04127937482275013,0.04127937482275013,3.919616513638147,114.7967208003099,213.9666201984134,0.0,0.0302,1.0,0.0,0.09289062889421676,1167.845593050948,0.6,0.5,0.6,0.5591176470588236,0.187460488557949,0.1405953664184618,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909083,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-25.79290205632609,0.08,231.5082395204138,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-7.504530802459294,1.268241794562545,0.2637583567224247
13.0,0.0,0.01,0.005,0.01505000000000001,121.4329825586446,1066.986200923821,0.1138093280433291,0.02,0.03535100000000013,0.5,1.293606630453797,1.293606630453797,1066.986200923821,0.09569592588682214,0.08,1.065940565965039,20.64360703496958,217.1868178323995,0.02535100000000013,0.02535100000000013,0.108463607573647,217.1868178323995,1.034834980889339,0.2500607868339244,0.2500607868339244,31.42341320823245,31.42341320823245,31.42341320823245,0.7,27.92958598848825,0.2,0.7,0.1,0.2,94.2519068361857,0.02535100000000013,133.5296456141003,0.2637583567224246,0.05,0.1,72.85978953518674,72.85978953518674,0.7,0.1,0.2,0.09569592588682214,0.5,0.4,1066.986200923821,0.8125395114420512,0.6094046335815384,0.0,31.42341320823245,0.05,72.85978953518674,0.04127937482275035,0.04127937482275035,4.058178877011798,118.8548996773225,217.1868178323995,0.0,0.0302,1.0,0.0,0.09569592588682214,1173.684821016203,0.6,0.5,0.6,0.5591176470588236,0.1874604885579489,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909094,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-26.70470693691928,0.08,239.6922872957,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-7.76982347085703,1.293606630453797,0.2637583567224246
14.0,0.0,0.01,0.005,0.01505000000000001,123.2605489461522,1072.32113192844,0.1149474213237624,0.02,0.03535100000000013,0.5,1.319478763062872,1.319478763062872,1072.32113192844,0.09858594284860417,0.08,1.08725937728434,20.95429332084587,220.4554794407772,0.02535100000000013,0.02535100000000013,0.1106328797251199,220.4554794407772,1.055531680507126,0.2500607868339246,0.2500607868339246,32.53426228855666,32.53426228855666,32.53426228855666,0.7,28.349926257615,0.2,0.7,0.1,0.2,97.5838059947517,0.02535100000000013,138.2500521162044,0.2637583567224246,0.05,0.1,73.95632936769131,73.95632936769131,0.7,0.1,0.2,0.09858594284860417,0.5,0.4,1072.32113192844,0.8125395114420511,0.6094046335815383,0.0,32.53426228855666,0.05,73.95632936769131,0.04127937482275013,0.04127937482275013,4.201639558493014,123.0565392358147,220.4554794407772,0.0,0.0302,1.0,0.0,0.09858594284860417,1179.553245121283,0.6,0.5,0.6,0.5591176470588235,0.1874604885579489,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909083,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-27.64874503184632,0.08,248.1656493438903,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-8.044494500375295,1.319478763062872,0.2637583567224246
15.0,0.0,0.01,0.005,0.01505000000000001,125.1156202077918,1077.682737588082,0.116096895537,0.02,0.03535100000000013,0.5,1.34586833832413,1.34586833832413,1077.682737588082,0.101563238322632,0.08,1.109004564830027,21.2696554353246,223.7733344063608,0.02535100000000013,0.02535100000000013,0.1128455373196223,223.7733344063608,1.076642314117268,0.2500607868339246,0.2500607868339246,33.68438099471944,33.68438099471944,33.68438099471944,0.7,28.77659264779211,0.2,0.7,0.1,0.2,101.0334911204722,0.02535100000000013,143.1373297085643,0.2637583567224246,0.05,0.1,75.06937212467506,75.06937212467506,0.7,0.1,0.2,0.101563238322632,0.5,0.4,1077.682737588082,0.8125395114420512,0.6094046335815384,0.0,33.68438099471944,0.05,75.06937212467506,0.04127937482275013,0.04127937482275013,4.350171718525303,127.40671095434,223.7733344063608,0.0,0.0302,1.0,0.0,0.101563238322632,1185.45101134689,0.6,0.5,0.6,0.5591176470588236,0.1874604885579489,0.1405953664184617,0.5,0.1,1.0,0.6,1.0,1.0,0.0,0.09090909090909094,-2.081668171172169e-17,1.5,0.05,0.5,0.2,0.02535100000000013,0.05,-28.62615581746712,0.08,256.9385532138461,0.5,1.0,0.5,0.0,1.5,0.1,0.7,0.2,-8.328875425458069,1.34586833832413,0.2637583567224246
